,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Jillian Dempsey,1.0,13.0,1.0,5.0,0.0,16.0,8.0,2.0,3.0,4.0
McKenna Brand,2.0,1.0,0.0,7.0,1.0,20.0,18.0,6.0,0.0,6.0
Tereza Vanisova,1.0,6.0,0.0,3.0,1.0,17.0,17.0,5.0,2.0,8.0
Samantha Davis,3.0,1.0,2.0,2.0,1.0,10.0,9.0,7.0,3.0,8.0
Stephanie Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meghan Lorence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallory Souliotis,3.0,0.0,1.0,14.0,0.0,31.0,30.0,4.0,1.0,3.0
Taylor Wenczkowski,5.0,2.0,0.0,4.0,1.0,16.0,16.0,7.0,2.0,4.0
Sydney Baldwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaleigh Fratkin,5.0,0.0,0.0,12.0,0.0,31.0,25.0,6.0,1.0,4.0
Allie Thunstrom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsey Brodt-Rosenthal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nina Rodgers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emma Stauber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christina Putigna,3.0,2.0,0.0,8.0,0.0,14.0,15.0,3.0,4.0,8.0
Haylea Schmid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Turnquist,3.0,0.0,0.0,9.0,0.0,33.0,24.0,7.0,0.0,3.0
Winny Brodt-Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren Kelly,11.0,0.0,0.0,17.0,0.0,30.0,31.0,7.0,2.0,1.0
Lexie Laing,7.0,12.0,1.0,3.0,0.0,6.0,5.0,5.0,7.0,5.0
Mary Parker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jenna Rheault,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Paige Capistran,4.0,0.0,0.0,3.0,0.0,19.0,15.0,2.0,1.0,0.0
Tori Sullivan,2.0,1.0,0.0,3.0,0.0,21.0,12.0,2.0,2.0,5.0
Carlee Turner,3.0,7.0,0.0,2.0,0.0,14.0,10.0,4.0,2.0,4.0
