,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Shiann Darkangelo,4.0,17.0,0.0,9.0,0.0,24.0,22.0,7.0,7.0,5.0
Emma Greco,7.0,0.0,0.0,9.0,1.0,11.0,23.0,3.0,2.0,4.0
Sonjia Shelly,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0
Sammy Kolowrat,6.0,0.0,0.0,7.0,0.0,12.0,21.0,0.0,2.0,1.0
Kiira Dosdall,5.0,0.0,0.0,8.0,0.0,20.0,28.0,3.0,1.0,0.0
Madison Packer,4.0,0.0,0.0,5.0,0.0,17.0,19.0,7.0,4.0,5.0
Emma Woods,4.0,0.0,0.0,3.0,0.0,19.0,16.0,6.0,2.0,7.0
Emily Janiga,3.0,5.0,1.0,9.0,0.0,12.0,19.0,1.0,3.0,3.0
Sarah Steele,1.0,0.0,0.0,9.0,0.0,19.0,16.0,6.0,2.0,0.0
Megan Quinn,5.0,0.0,0.0,9.0,0.0,17.0,19.0,0.0,2.0,3.0
Kelly Babstock,2.0,1.0,0.0,5.0,3.0,9.0,8.0,2.0,3.0,3.0
Jayne Lewis,3.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
Leila Kilduff,3.0,0.0,2.0,2.0,0.0,14.0,12.0,1.0,5.0,3.0
Breanne Wilson-Bennett,3.0,7.0,0.0,3.0,0.0,16.0,17.0,3.0,1.0,3.0
Lindsay Eastwood,0.0,0.0,0.0,7.0,0.0,14.0,20.0,10.0,1.0,2.0
Kendall Cornine,9.0,4.0,0.0,5.0,0.0,6.0,22.0,2.0,1.0,6.0
Paige Voight,4.0,1.0,0.0,3.0,0.0,7.0,8.0,1.0,3.0,3.0
Rebecca Morse,6.0,0.0,0.0,5.0,0.0,15.0,19.0,5.0,4.0,3.0
Natalie Marcuzzi,2.0,3.0,0.0,6.0,0.0,10.0,13.0,5.0,1.0,2.0
Taylor Woods,4.0,0.0,0.0,5.0,1.0,21.0,30.0,8.0,1.0,2.0
Mallory Rushton,4.0,0.0,0.0,7.0,0.0,6.0,8.0,3.0,0.0,3.0
Theresa Knutson,1.0,1.0,0.0,6.0,0.0,13.0,11.0,3.0,0.0,3.0
Allie Olnowich,6.0,0.0,0.0,3.0,0.0,5.0,13.0,4.0,2.0,2.0
Kristen Barbara,2.0,0.0,0.0,8.0,0.0,21.0,20.0,4.0,3.0,2.0
Elaine Chuli,0.0,0.0,0.0,2.0,0.0,11.0,12.0,0.0,0.0,0.0
Taytum Clairmont,4.0,3.0,0.0,1.0,0.0,11.0,9.0,0.0,2.0,4.0
Julie Allen,4.0,0.0,0.0,4.0,1.0,5.0,4.0,0.0,2.0,3.0
Rebecca Russo,6.0,0.0,0.0,4.0,0.0,12.0,18.0,4.0,2.0,3.0
Kate Leary,13.0,0.0,0.0,7.0,0.0,13.0,16.0,3.0,4.0,11.0
Emily Fluke,4.0,1.0,0.0,1.0,0.0,7.0,8.0,2.0,1.0,4.0
Mikyla Grant-Mentis,0.0,7.0,0.0,4.0,0.0,15.0,17.0,12.0,4.0,14.0
Sarah-Eve Coutu Godbout,4.0,1.0,0.0,8.0,0.0,12.0,20.0,5.0,1.0,5.0
Saroya Tinker,4.0,0.0,0.0,6.0,0.0,16.0,18.0,2.0,1.0,0.0
Amy Curlew,0.0,1.0,0.0,0.0,0.0,6.0,5.0,3.0,2.0,2.0
Brooke Avery,1.0,1.0,0.0,2.0,0.0,8.0,3.0,0.0,1.0,2.0
Mackenzie MacNeil,3.0,0.0,0.0,3.0,0.0,8.0,14.0,3.0,0.0,5.0
Brooke Boquist,1.0,1.0,0.0,5.0,0.0,19.0,11.0,4.0,1.0,4.0
Cailey Hutchison,3.0,3.0,0.0,2.0,0.0,4.0,6.0,0.0,1.0,1.0
