Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Jordan Juron,1,0 days 00:20:00,3,0 days 00:00:41,0 days 00:59:19
Marie-Jo Pelletier,1,0 days 00:19:58,3,0 days 00:00:15,0 days 00:59:43
Kristin Lewicki,1,0 days 00:19:56,3,0 days 00:03:57,0 days 00:55:59
Kaleigh Fratkin,1,0 days 00:19:52,3,0 days 00:00:36,0 days 00:59:16
Autumn MacDougall,1,0 days 00:19:49,3,0 days 00:02:43,0 days 00:57:06
Jillian Dempsey,1,0 days 00:19:47,3,0 days 00:00:44,0 days 00:59:03
Christina Putigna,1,0 days 00:19:34,3,0 days 00:00:17,0 days 00:59:17
Alyson Matteau,1,0 days 00:19:23,3,0 days 00:02:10,0 days 00:57:13
Mallory Souliotis,1,0 days 00:19:14,3,0 days 00:01:02,0 days 00:58:12
Erin Gehen,1,0 days 00:19:13,3,0 days 00:03:15,0 days 00:55:58
Tori Sullivan,1,0 days 00:19:06,3,0 days 00:01:12,0 days 00:57:54
Cassidy MacPherson,1,0 days 00:19:02,3,0 days 00:03:39,0 days 00:55:23
Whitney Dove,1,0 days 00:19:00,3,0 days 00:01:28,0 days 00:57:32
Lexie Laing,1,0 days 00:18:59,3,0 days 00:01:39,0 days 00:57:20
Samantha Davis,1,0 days 00:18:48,3,0 days 00:01:07,0 days 00:57:41
Taylor Turnquist,1,0 days 00:18:45,3,0 days 00:01:13,0 days 00:57:32
Briana Mastel,1,0 days 00:18:39,3,0 days 00:03:12,0 days 00:55:27
Carlee Turner,1,0 days 00:18:28,3,0 days 00:03:35,0 days 00:54:53
Taylor Wasylk,1,0 days 00:18:15,3,0 days 00:00:56,0 days 00:57:19
Paige Capistran,1,0 days 00:18:13,3,0 days 00:05:45,0 days 00:52:28
Lisa Chesson,1,0 days 00:18:10,3,0 days 00:00:32,0 days 00:57:38
Taylor Wenczkowski,1,0 days 00:18:08,3,0 days 00:03:05,0 days 00:55:03
Iveta Klimasova,1,0 days 00:18:03,3,0 days 00:08:44,0 days 00:49:19
Tereza Vanisova,1,0 days 00:18:01,3,0 days 00:00:50,0 days 00:57:11
Lauren Kelly,1,0 days 00:17:49,3,0 days 00:01:30,0 days 00:56:19
Hunter Accursi,1,0 days 00:17:47,3,0 days 00:05:17,0 days 00:52:30
Brittany Colton,1,0 days 00:17:43,3,0 days 00:13:27,0 days 00:44:16
McKenna Brand,1,0 days 00:17:30,3,0 days 00:00:01,0 days 00:57:29
Dominique Kremer,1,0 days 00:16:41,3,0 days 00:03:19,0 days 00:53:22
Meghara McManus,1,0 days 00:16:22,3,0 days 00:05:24,0 days 00:50:58
Meaghan Rickard,1,0 days 00:16:16,1,0 days 00:10:34,0 days 00:05:42
Lenka Curmova,1,0 days 00:15:21,3,0 days 00:02:42,0 days 00:52:39
Lovisa Selander,1,0 days 00:14:59,2,0 days 00:01:48,0 days 00:33:11
Neve Van Pelt,1,0 days 00:14:50,3,0 days 00:10:56,0 days 00:43:54
Brooke Stacey,1,0 days 00:10:49,3,0 days 00:03:18,0 days 00:47:31
Megan Delay,1,0 days 00:07:18,3,0 days 00:04:59,0 days 00:42:19
Carly Jackson,1,0 days 00:05:27,3,0 days 00:03:02,0 days 00:42:25
