Name,Time,Gain,Lose
Allie Thunstrom,0 days 00:01:25,36,8
Amanda Leveille,0 days 00:00:02,8,1
Audra Richards,0 days 00:00:39,28,5
Brooke White,0 days 00:00:12,5,4
Carlee Turner,0 days 00:00:17,14,1
Chelsey Brodt-Rosenthal,0 days 00:00:28,27,9
Christina Putigna,0 days 00:01:10,28,9
Emma Stauber,0 days 00:01:01,35,13
Haley Mack,0 days 00:00:51,33,9
Haylea Schmid,0 days 00:00:29,18,5
Jenna Rheault,0 days 00:01:25,29,6
Jillian Dempsey,0 days 00:00:41,22,3
Jonna Curtis,0 days 00:01:22,39,13
Kaleigh Fratkin,0 days 00:01:27,44,6
Lauren Kelly,0 days 00:01:07,40,14
Lexie Laing,0 days 00:00:34,21,7
Lovisa Selander,0 days 00:00:00,2,1
Lynn Astrup,0 days 00:00:10,2,1
Maddie Rowe,0 days 00:00:40,28,11
Mallory Souliotis,0 days 00:01:25,49,12
Mary Parker,0 days 00:00:37,24,3
McKenna Brand,0 days 00:01:38,42,5
Meaghan Pezon,0 days 00:00:36,21,3
Meaghan Rickard,0 days 00:00:21,19,6
Meghan Lorence,0 days 00:01:10,32,7
Meghara McManus,0 days 00:00:45,22,4
Nina Rodgers,0 days 00:00:32,24,3
Paige Capistran,0 days 00:00:30,17,4
Rose Alleva,0 days 00:00:08,6,2
Samantha Davis,0 days 00:01:42,45,7
Sara Bustad,0 days 00:00:05,8,1
Stephanie Anderson,0 days 00:00:53,31,8
Sydney Baldwin,0 days 00:01:26,40,8
Taylor Turnquist,0 days 00:00:58,33,5
Taylor Wenczkowski,0 days 00:01:17,34,5
Tereza Vanisova,0 days 00:01:10,30,5
Tori Sullivan,0 days 00:00:33,20,6
Winny Brodt-Brown,0 days 00:00:21,15,5
